mcc,mcc_range_start,mcc_range_end,mcc_range_description,mcc_range_reserved_flag,iso_description,usda_description,stripe_description,stripe_code,visa_req_clearing_name,alipay_description,mastercard_description,mastercard_abbreviated_airline_name,amex_description,visa_mcc,visa_mcc_title,visa_mcc_description,visa_included_in_mcc,human_assigned_coicop_label
7216,6000,7299,Service providers,False,Dry cleaners,Dry Cleaners,Dry Cleaners,dry_cleaners,,Dry cleaners,Dry Cleaners,,Dry Cleaners,7216,Dry Cleaners,Merchants classified with this MCC perform dry cleaning services for individuals or businesses and may offer limited alteration services.,Services – Dry Cleaning,SERVICES - OTHER
7217,6000,7299,Service providers,False,Carpet and upholstery cleaning,Carpet and Upholstery Cleaning,Carpet/Upholstery Cleaning,carpet_upholstery_cleaning,,Carpet and upholstery cleaning,Carpet and Upholstery Cleaning,,Carpet and Upholstery Cleaning,7217,Carpet and Upholstery Cleaning,"Merchants classified with this MCC clean carpets, drapes, and upholstery.",Drapery Cleaning,SERVICES - OTHER
7221,6000,7299,Service providers,False,Photographic studios,Photographic Studios,Photographic Studios,photographic_studios,,Photographic studios,Photographic Studios,,Photographic Studios,7221,Photographic Studios,Merchants classified with this MCC perform still or video portrait photography for the general public.,Photographers – Wedding Portrait Studios Wedding Photographers,CULTURAL AND RECREATIONAL SERVICES
7230,6000,7299,Service providers,False,Beauty and barber shops,Barber and Beauty Shops,Barber and Beauty Shops,barber_and_beauty_shops,,Beauty and barber shops,Barber and Beauty Shops,,Beauty and Barber Shops,7230,Beauty and Barber Shops,"Merchants classified with this MCC provide personal hair care services such as hair cutting, styling, and coloring, and may also perform manicures and pedicures and sell a limited selection of hair care products.","Beauty Salons Fingernail Salons Hair Cutting Hair Salon Hair Styling Hairdressers Make-up Studios Manicurists Nail Salons Salons – Hair, Beauty Salons – Nail",PERSONAL CARE SERVICES
7251,6000,7299,Service providers,False,"Shoe repair shops, shoe shine parlours and hat cleaning shops","Shop Repair Shops and Shoe Shine Parlors, and Hat Cleaning Shops",Shoe Repair/Hat Cleaning,shoe_repair_hat_cleaning,,"Shoe repair shops, shoe shine parlours and hat cleaning shops","Hat Cleaning Shops, Shoe Repair Shops, Shoe Shine Parlors",,"Shoe Repair Shops, Shoe Shine Parlors, and Hat Cleaning Shops",7251,"Shoe Repair Shops, Shoeshine Parlors, and Hat Cleaning Shops",Merchants classified with this MCC repair footwear and provide shoe and hat cleaning and maintenance services.,"Hat Cleaning Shops Shoeshine Shops, Stands Repairs – Shoe Repair Shops",SERVICES - OTHER
7261,6000,7299,Service providers,False,Funeral services and crematoriums,Funeral Service and Crematories,"Funeral Services, Crematories",funeral_services_crematories,,Funeral services and crematoriums,Funeral Service and Crematories,,Funeral Services and Crematories,7261,Funeral Services and Crematories,"Merchants classified with this MCC are mortuaries, crematories, and funeral homes that provide burial preparation services, conduct funerals, and provide cremation services.",Mortuaries Morticians Undertakers,SERVICES - OTHER
7273,6000,7299,Service providers,False,Dating and escort services,Dating and Escort Services,Dating/Escort Services,dating_escort_services,,Dating and escort services,Dating Services,,Dating and Escort Services,7273,Dating Services,"Merchants classified with this MCC provide dating and escort services, including online services.","Escort Services Services – Dating, Escort Online Dating Services",SERVICES - OTHER
7276,6000,7299,Service providers,False,Tax preparation services,Tax Preparation Service,Tax Preparation Services,tax_preparation_services,,,Tax Preparation Service,,Tax Preparation Services,7276,Tax Preparation Services,"Merchants classified with this MCC provide income tax return preparation services but do not provide auditing, accounting, or bookkeeping services.",Services – Tax Preparation,FINANCIAL SERVICES
7277,6000,7299,Service providers,False,"Counselling services -- debt, marriage and personal","Counseling Service - Debt, Marriage, Personal",Counseling Services,counseling_services,,,"Debt, Marriage, Personal: Counseling Service",,"Counseling Services - Debt, Marriage, and Personal",7277,"Counseling Services – Debt, Marriage, and Personal","Merchants classified with this MCC provide a variety of personal counseling services, such as debt and financial counseling, marriage counseling, family counseling, and alcohol and drug abuse counseling.","Alcohol, Drug Abuse Counseling Credit Counseling Debt Counseling Drug, Alcohol Abuse Counseling Family Counseling Financial Counseling Service Marriage Counseling Personal Counseling Services – Counseling – Debt, Marriage, Personal Services – Financial Counseling",SERVICES - OTHER
7278,6000,7299,Service providers,False,Buying and shopping services and clubs,"Buying/Shopping Services, Clubs",Buying/Shopping Services,buying_shopping_services,,Buying and shopping services and clubs,"Buying/Shopping Clubs, Services",,Buying and Shopping Services and Clubs,7278,Buying and Shopping Services and Clubs,Merchants classified with this MCC act as an intermediary to facilitate buying and shopping for individuals or businesses on a fee basis.,"Personal Shopper Services – Buying/Shopping Services, Clubs Shopping Services",SERVICES - OTHER
7280,6000,7299,Service providers,False,,,,,,,,,Private Hospital,,,,,
7295,6000,7299,Service providers,False,,,,,,Babysitting and housekeeping services,Housekeeping Service (China),,Babysitting and Housekeeping Services,,,,,
7296,6000,7299,Service providers,False,"Clothing rentals -- costumes, uniforms and formal wear","Clothing Rental - Costumes, Formal Wear, Uniforms",Clothing Rental,clothing_rental,,"Clothing rentals - costumes, uniforms and formal wear","Clothing Rental: Costumes, Uniforms, and Formal Wear",,"Clothing Rental - Costumes, Uniforms, and Formal Wear",7296,"Clothing Rental – Costumes, Uniforms, Formal Wear","Merchants classified with this MCC rent costumes, uniforms, formal wear, and other types of apparel and related accessories.","Apparel – Clothing Rental – Costumes, Formal Wear, Uniforms Costume Rental Formal Wear Rental Rentals – Clothing – Costumes, Formal Wear, Uniforms Rentals – Costume Rentals – Tuxedo, Formal Wear Rentals – Uniforms Tuxedo, Formal Wear Rentals Uniforms Rental",SERVICES - OTHER
7297,6000,7299,Service providers,False,Massage parlours,Massage Parlors,Massage Parlors,massage_parlors,,Massage parlours,Massage Parlors,,Massage Parlors,7297,Massage Parlors,Merchants classified with this MCC specialize in providing therapeutic massage services and may also provide other personal services such as spa treatments and rent saunas or hot tubs for customer use.,,PERSONAL CARE SERVICES
7298,6000,7299,Service providers,False,Health and beauty spas,Health and Beauty Shops,Health and Beauty Spas,health_and_beauty_spas,,Health and beauty spas,Health and Beauty Spas,,Health and Beauty Spas,7298,Health and Beauty Spas,"Merchants classified with this MCC provide a variety of personal or therapeutic services such as facials, massages, mud baths, herbal wraps, tanning treatments, whirlpools, steam baths, and hair and makeup styling, and instructional classes.",Tanning Salons,PERSONAL CARE SERVICES
7299,6000,7299,Service providers,False,Miscellaneous personal services -- not elsewhere classified,Miscellaneous Personal Services ( not elsewhere classifies),Miscellaneous General Services,miscellaneous_general_services,,Miscellaneous personal services - not elsewhere classified,Other Services: not elsewhere classified,,Miscellaneous Personal Services - Not Elsewhere Classified,7299,Miscellaneous Personal Services (Not Elsewhere Classified),Merchants classified with this MCC provide personal services that are not classified with a more specific MCC.,"Animal Boarding Services Animal Breeders Animal Grooming Services Animal Training Apartment Rental Services Boarding Services – Animal Body Piercing, Tattoo Parlors Breeders – Animals Dog Grooming Services Dog Training Horse Boarding Services
Kennels – Animal Pet Grooming Services Services – Animal Boarding Services – Stand-Alone Tipping/Gratuities Services – Miscellaneous Other Services – Miscellaneous Personal Services – Pet Grooming Services – Water Filtration, Purification, Softening Treatments Stables – Animal Tattoo, Body Piercing Parlors Taxidermists Wedding Chapels / Planning",SERVICES - OTHER
7311,7300,7529,Business services,False,Advertising services,Advertising Services,Advertising Services,advertising_services,,Advertising services,Advertising Services,,Advertising Services,7311,Advertising Services,"Merchants classified with this MCC prepare advertising (writing copy, artwork, graphics, and other creative work) and place such advertising and/or samples in periodicals, newspapers, radio and television, on the internet, in the sky, or other advertising media for clients on a contract or fee basis.",Ad Agencies Agencies – Advertising Classified Ads – Newspaper Services – Advertising,SERVICES - OTHER
7321,7300,7529,Business services,False,Consumer credit reporting agencies,Consumer Credit Reporting Agencies,Credit Reporting Agencies,credit_reporting_agencies,,,Consumer Credit Reporting Agencies,,Consumer Credit Reporting Agencies,7321,Consumer Credit Reporting Agencies,"Merchants classified with this MCC provide consumer credit reporting services such as credit investigation, credit clearinghouses, and other related services. For Merchants primarily engaged in collecting debts in default owed to others or that were originally owed to others, use MCC 7322",,FINANCIAL SERVICES
7322,7300,7529,Business services,False,Debt collection agencies,,,,,,Debt Collection Agency,,Debt Collection Agencies,7322,Collection Agencies,,,FINANCIAL SERVICES
7332,7300,7529,Business services,False,,Blueprinting and Photocopying Services,,,,,,,,,,,,SERVICES - OTHER
7333,7300,7529,Business services,False,"Commercial photography, art and graphics","Commercial Photography, Art and Graphics","Commercial Photography, Art and Graphics",commercial_photography_art_and_graphics,,"Commercial photography, art and graphics","Commercial Art, Graphics, Photography",,"Commercial Photography, Art, and Graphics",7333,"Commercial Photography, Art, and Graphics","Merchants classified with this MCC provide commercial art or graphic design services for advertising agencies, publishers, and other businesses.",Commercial Artists Film Production Graphics – Commercial Silk Screening,SERVICES - OTHER
7338,7300,7529,Business services,False,"Quick copy, reproduction and blueprinting services","Quick Copy, Reproduction and Blueprinting Services","Quick Copy, Repro, and Blueprint",quick_copy_repro_and_blueprint,,"Quick copy, reproduction and blueprinting services","Quick Copy, Reproduction, and Blueprinting Services",,"Quick Copy, Reproduction, and Blueprinting Services",7338,"Quick Copy, Reproduction, and Blueprinting Services","Merchants classified with this MCC reproduce and bind text, drawings, plans, maps, or other copy, by blueprinting, photocopying, or other methods of duplication.","Photocopying Services Reproduction Services Services – Quick Copy, Reproduction",SERVICES - OTHER
7339,7300,7529,Business services,False,Stenographic and secretarial support services,Stenographic and Secretarial Support Services,Secretarial Support Services,secretarial_support_services,,Stenographic and secretarial support services,Stenographic and Secretarial Support Services,,Stenographic and Secretarial Support Services,7339,Stenographic and Secretarial Support,"Merchants classified with this MCC provide a range of stenographic and secretarial services such as word processing, typing, editing, letter writing, proofreading, resume writing, and court reporting services.",Services – Word Processing Word Processing Services,SERVICES - OTHER
7342,7300,7529,Business services,False,Exterminating and disinfecting services,Disinfecting Services,Exterminating Services,exterminating_services,,Exterminating and disinfecting services,Exterminating and Disinfecting Services,,Exterminating and Disinfecting Services,7342,Exterminating and Disinfecting Services,"Merchants classified with this MCC provide pest control, extermination, fumigation, and disinfection services.",Exterminators Pest Control,DOMESTIC SERVICES AND HOUSEHOLD SERVICES
7349,7300,7529,Business services,False,"Cleaning, maintenance and janitorial services",,Cleaning and Maintenance,cleaning_and_maintenance,,"Cleaning, maintenance and janitorial services","Cleaning and Maintenance, Janitorial Services",,"Cleaning, Maintenance, and Janitorial Services",7349,"Cleaning, Maintenance, and Janitorial Services",Merchants classified with this MCC provide cleaning and maintenance services.,House Cleaning Services Housekeeping Services Maintenance Services Services – Housekeeping,DOMESTIC SERVICES AND HOUSEHOLD SERVICES
7361,7300,7529,Business services,False,Employment agencies and temporary help services,"Employment Agencies, Temporary Help Services",Employment/Temp Agencies,employment_temp_agencies,,Employment agencies and temporary help services,"Employment Agencies, Temporary Help Services",,Employment Agencies and Temporary Help Services,7361,Employment Agencies and Temporary Help Services,Merchants classified with this MCC provide employment services for those seeing employees or employment.,Temporary Employment Agencies,SERVICES - OTHER
7372,7300,7529,Business services,False,"Computer programming, data processing and integrated systems design services","Computer Programming, Integrated Systems Design and Data Processing Services",Computer Programming,computer_programming,,"Computer programming, data processing and integrated systems design services","Computer Programming, Data Processing, and Integrated Systems Design Services",,"Computer Programming, Data Processing, and Integrated Systems Design Services",7372,"Computer Programming, Data Processing, and Integrated Systems Design Services","Merchants classified with this MCC provide computer programming services, systems design, website design, data entry, and data processing services.",Computer Software Design Systems Design – Computer,SERVICES - OTHER
7375,7300,7529,Business services,False,Information retrieval services,Information Retrieval Services,Information Retrieval Services,information_retrieval_services,,Information retrieval services,Information Retrieval Services,,Information Retrieval Services,7375,Information Retrieval Services,Merchants classified with this MCC are business-to- business or wholesale provisioners of online or database information retrieval services.,,SERVICES - OTHER
7379,7300,7529,Business services,False,Computer maintenance and repair services -- not elsewhere classified,"Computer Maintenance and Repair Services, Not Elsewhere Classified",Computer Repair,computer_repair,,Computer maintenance and repair services - not elsewhere classified,"Computer Maintenance, Repair, and Services: not elsewhere classified",,Computer Maintenance and Repair Services - Not Elsewhere Classified,7379,"Computer Maintenance, Repair and Services (Not Elsewhere Classified)","Merchants classified with this MCC provide computer- related services such as computer consulting, database development, computer maintenance and repair, conversion services, and computer requirements analysis.",,SERVICES - OTHER
7392,7300,7529,Business services,False,"Management, consulting and public relations services","Management, Consulting, and Public Relations Services","Consulting, Public Relations",consulting_public_relations,,"Management, consulting and public relations services","Consulting, Management, and Public Relations Services",,"Management, Consulting, and Public Relations Services",7392,"Management, Consulting, and Public Relations Services","Merchants classified with this MCC perform a variety of activities for private, nonprofit, and public organizations, such as strategic and organizational planning, financial planning and budgeting, developing marketing objectives, information systems planning, development of human resource policies, and public relations services.","Consultants – Management Consultants – Marketing Consultants – Public Relations Consulting, Management Services Management Consultants Marketing Consultants Public Relations Services Services – Management, Consulting, Public Relations",SERVICES - OTHER
7393,7300,7529,Business services,False,"Detective agencies, protective agencies and security services, including armoured cars and guard dogs",Protective and Security Services - Including Armored Cars and Guard Dogs,Detective Agencies,detective_agencies,,"Detective agencies, protective agencies and security services, including armoured cars and guard dogs","Detective Agencies, Protective Agencies, Security Services including Armored Cars, Guard Dogs",,"Detective Agencies, Protective Agencies, and Security Services, including Armored Cars and Guard Dogs",7393,"Detective Agencies, Protective Services, and Security Services, including Armored Cars, and Guard Dogs","Merchants classified with this MCC provide security devices/systems and services such as security guard, protective, and armored car services and investigative services.","Alarm Systems, Services Armored Cars Burglar Alarm Companies – Home/Business Security Fire Alarm Companies – Home/Business Security Guard Dogs Home Security Systems Private Investigators Protective Services Security Services, Protective Services, Detective Agencies Security Systems
Services – Armored Car Services – Detective Agencies Services – Guard Dog Services – Protective Services – Security Surveillance Systems, Services","SERVICES FOR MAINTENANCE, REPAIR AND SECURITY OF THE DWELLING"
7394,7300,7529,Business services,False,"Equipment, tool, furniture and appliance rentals and leasing","Equipment Rental and Leasing Services, Tool Rental, Furniture Rental, and Appliance Rental",Equipment Rental,equipment_rental,,"Equipment, tool, furniture and appliance rentals and leasing","Equipment Rental and Leasing Services, Furniture Rental, Tool Rental",,"Equipment, Tool, Furniture, and Appliance Rental and Leasing",7394,"Equipment, Tool, Furniture, and Appliance Rental and Leasing","Merchants classified with this MCC rent and lease equipment, tools, furniture, appliances, and office equipment, excluding typewriters.","Appliance Rental Furniture Rental Leasing Services – Equipment Rentals – Appliance Rentals – Equipment Rentals – Furniture Rentals – Tools Services – Equipment Rental, Leasing","SERVICES FOR MAINTENANCE, REPAIR AND SECURITY OF THE DWELLING"
7395,7300,7529,Business services,False,Photofinishing laboratories and photo developing,"Photofinishing Laboratories, Photo Developing",Photo Developing,photo_developing,,Photofinishing laboratories and photo developing,"Photo Developing, Photofinishing Laboratories",,Photofinishing Laboratories and Photo Developing,7395,Photofinishing Laboratories and Photo Developing,"Merchants classified with this MCC develop film, make photographic prints and enlargements, and provide custom services, and may also sell a limited selection of photographic supplies and accessories.",Film Developing,SERVICES - OTHER
7399,7300,7529,Business services,False,Business services -- not elsewhere classified,"Business Services, Not Elsewhere Classified",Miscellaneous Business Services,miscellaneous_business_services,,Business services - not elsewhere classified,Business Services: not elsewhere classified,,Business Services - Not Elsewhere Classified,7399,Business Services (Not Elsewhere Classified),Merchants classified with this MCC provide business services that are not typically considered to be “professions” and are not classified with a more specific MCC.,"Answering Services – Telephone Conference Management Services Convention Bureaus Cosmetics Distributors Event Planning and Management Keys – Locksmith Language, Translation Services Locksmith Mail, Packing Stores, Services Meeting Planning Services
Message, Paging Services Packing, Mailing Services Paging, Message Service Centers Perfume Distributors Postal Services – Non- Government Publishing Companies Seminar Planning Services Services – Telephone Answering Services – Trade Show Arrangement Services – Translation, Language Telephone Answering Services Tourist Information Bureaus Trade Show Arrangement Services Translation Services Video-Conferencing Services",SERVICES - OTHER
7511,7300,7529,Business services,False,,,Truck StopIteration,truck_stop_iteration,,Reserved for national use,,,,,,,,SERVICES - OTHER
7512,7300,7529,Business services,False,Automobile rentals,Car Rental Companies ( Not Listed Below),Car Rental Agencies,car_rental_agencies,,Automobile rentals,Automobile Rental Agency: not elsewhere classified,,Automobile Rental Agency,7512,Automobile Rental Agency,Merchants classified with this MCC are car rental agencies that do not have designated unique MCCs. This also includes car-sharing schemes (known as “car-clubs” in the UK),Car Rentals,PASSENGER TRANSPORT SERVICES - ROAD
7513,7300,7529,Business services,False,Truck and utility trailer rentals,Truck and Utility Trailer Rentals,Truck/Utility Trailer Rentals,truck_utility_trailer_rentals,,Truck and utility trailer rentals,Truck Rental,,Truck and Utility Trailer Rentals,7513,Truck and Utility Trailer Rentals,"Merchants classified with this MCC provide short-term rental or long-term leasing of trucks, vans, or utility trailers.","Leasing Services – Trucks, Utility Trailers",PASSENGER TRANSPORT SERVICES - ROAD
7519,7300,7529,Business services,False,Motor home and recreational vehicle rentals,Motor Home and Recreational Vehicle Rentals,Recreational Vehicle Rentals,recreational_vehicle_rentals,,Motor home and recreational vehicle rentals,Motor Home and Recreational Vehicle Rental,,Motor Home and Recreational Vehicle Rentals,7519,Motor Home and Recreational Vehicle Rentals,"Merchants classified with this MCC rent motor homes, RVs, campers, tent trailers, and other recreational vehicles on daily, short-term, or extended-term basis.",,CULTURAL AND RECREATIONAL SERVICES
7523,7300,7529,Business services,False,Parking lots and garages,Automobile Parking Lots and Garages,"Parking Lots, Garages",parking_lots_garages,,Parking lots and garages,Automobile Parking Lots and Garages,,Parking Lots and Garages,7523,"Parking Lots, Parking Meters and Garages","Merchants classified with this MCC provide temporary parking services for all modes of transportation, usually on an hourly, daily, or monthly contract or fee basis.",Parking Garages,SERVICES IN RESPECT OF PERSONAL TRANSPORT EQUIPMENT
7531,7530,7799,Repair services,False,Automotive body repair shops,Automotive Body Repair Shops,Auto Body Repair Shops,auto_body_repair_shops,,Automotive body repair shops,Automotive Body Repair Shops,,Automotive Body Repair Shops,7531,Automotive Body Repair Shops,Merchants classified with this MCC perform automotive body repair work and may paint automobiles in conjunction with body repair work.,Car Body Repair Shops Auto Body Shops,SERVICES IN RESPECT OF PERSONAL TRANSPORT EQUIPMENT
7534,7530,7799,Repair services,False,Tyre retreading and repair shops,Tire Re-treading and Repair Shops,Tire Retreading and Repair,tire_retreading_and_repair,,Tyre retreading and repair shops,Tire Retreading and Repair Shops,,Tire Retreading and Repair Shops,7534,Tire Retreading and Repair Shops,"Merchants classified with this MCC sell, install, repair, or retread old tires.","Car Tires – Retreads Repairs – Tire Retreading, Repair Shops",SERVICES IN RESPECT OF PERSONAL TRANSPORT EQUIPMENT
7535,7530,7799,Repair services,False,Automotive paint shops,Paint Shops - Automotive,Auto Paint Shops,auto_paint_shops,,Automotive paint shops,Automotive Paint Shops,,Automotive Paint Shops,7535,Automotive Paint Shops,"Merchants classified with this MCC paint, refinish, and restore automobiles.",Car Paint Shops,SERVICES IN RESPECT OF PERSONAL TRANSPORT EQUIPMENT
7538,7530,7799,Repair services,False,Automotive service shops (non-dealer),Automotive Service Shops,Auto Service Shops,auto_service_shops,,Automotive service shops (non-dealer),Automotive Service Shops,,Automotive Service Shops (Non-Dealer),7538,Automotive Service Shops (Non-Dealer),Merchants classified with this MCC conduct automotive repairs and general or specific services.,"Automotive Glass Repair/ Replacement Car Service Shops Lube Stations – Quick Stop Muffler Shops Oil Changers – Lube Stations Repairs – Automotive Service Shops Tune-Up Shops – Automotive Wheel Alignment, Balancing, Repair Service – Automotive",SERVICES IN RESPECT OF PERSONAL TRANSPORT EQUIPMENT
7542,7530,7799,Repair services,False,Car washes,Car Washes,Car Washes,car_washes,,Car washes,Car Washes,,Car Washes,7542,Car Washes,"Merchants classified with this MCC wash, wax, and polish automobiles or provide self-service facilities.","Auto Detailing Automotive Cleaning, Waxing
Cleaning, Polishing – Automotive
(Non-Dealer)",SERVICES IN RESPECT OF PERSONAL TRANSPORT EQUIPMENT
7549,7530,7799,Repair services,False,Towing services,Towing Services,Towing Services,towing_services,,Towing services,Towing Services,,Towing Services,7549,Towing Services,Merchants classified with this MCC provide vehicle towing services.,,SERVICES IN RESPECT OF PERSONAL TRANSPORT EQUIPMENT
7622,7530,7799,Repair services,False,Electronics repair shops,Radio Repair Shops,Electronics Repair Shops,electronics_repair_shops,,Electronics repair shops,Electronic Repair Shops,,Electronics Repair Shops,7622,Electronics Repair Shops,"Merchants classified with this MCC repair electronics (excluding appliances) such as radios, televisions, stereo equipment, and computers.","Radio, Television, Stereo, Electronics Repair Shops Repairs – Radio, Television, Stereo, Electronics Services – Television, Radio, Stereo, Electronics Stereo Repair Shops Television Repair Shops",SERVICES - OTHER
7623,7530,7799,Repair services,False,Air conditioning and refrigeration repair shops,Air Conditioning and Refrigeration Repair Shops,"A/C, Refrigeration Repair",ac_refrigeration_repair,,Air conditioning and refrigeration repair shops,Air Conditioning and Refrigeration Repair Shops,,Air Conditioning and Refrigeration Repair Shops,7623,Air Conditioning and Refrigeration Repair Shops,Merchants classified with this MCC service and repair household and commercial air conditioning and refrigeration systems.,"Refrigeration Repair Shops Repairs – Air Conditioning, Refrigeration Repair Shops","SERVICES FOR MAINTENANCE, REPAIR AND SECURITY OF THE DWELLING"
7629,7530,7799,Repair services,False,Electrical and small appliance repair shops,Electrical And Small Appliance Repair Shops,Small Appliance Repair,small_appliance_repair,,Electrical and small appliance repair shops,"Appliance Repair Shops, Electrical and Small",,Electrical and Small Appliance Repairs,7629,Electrical and Small Appliance Repair Shops,"Merchants classified with this MCC service and repair household and commercial electrical components, small appliances (such as microwaves, toaster ovens, and toasters), and electrical office machines, excluding typewriters.",Repairs – Office Machines,"SERVICES FOR MAINTENANCE, REPAIR AND SECURITY OF THE DWELLING"
7631,7530,7799,Repair services,False,"Watch, clock and jewellery repair shops","Watch, Clock, and Jewelry Repair",Watch/Jewelry Repair,watch_jewelry_repair,,"Watch, clock and jewellery repair shops","Clock, Jewelry, and Watch Repair Shops",,"Watch, Clock, and Jewelry Repair Shops",7631,"Watch, Clock and Jewelry Repair","Merchants classified with this MCC clean and repair all types of watches, clocks, and fine jewelry.",,SERVICES - OTHER
7641,7530,7799,Repair services,False,"Furniture reupholstery, repair and refinishing","Furniture, Furniture Repair, and Furniture Refinishing","Furniture Repair, Refinishing",furniture_repair_refinishing,,"Furniture reupholstery, repair and refinishing","Furniture: Reupholstery and Repair, Refinishing",,"Furniture - Reupholstery, Repair, and Refinishing",7641,"Furniture – Reupholstery, Repair, and Refinishing","Merchants classified with this MCC reupholster, repair, refinish, and restore furniture.","Furniture Repair, Reupholstery Refinishing – Furniture Repair, Reupholstery Repairs – Reupholstery, Furniture Repair, Furniture Refinishing Services – Reupholstery,
Furniture Repair, Furniture Refinishing","SERVICES FOR MAINTENANCE, REPAIR AND SECURITY OF THE DWELLING"
7692,7530,7799,Repair services,False,Welding services,Welding Repair,Welding Repair,welding_repair,,Welding services,Welding Repair,,Welding Services,7692,Welding Services,Merchants classified with this MCC perform welding services and repair.,Services – Welding Repair,"SERVICES FOR MAINTENANCE, REPAIR AND SECURITY OF THE DWELLING"
7699,7530,7799,Repair services,False,Miscellaneous repair shops and related services,Repair Shops and Related Services -Miscellaneous,Miscellaneous Repair Shops,miscellaneous_repair_shops,,Miscellaneous repair shops and related services,Miscellaneous Repair Shops and Related Services,,Miscellaneous Repair Shops and Related Services,7699,Miscellaneous Repair Shops and Related Services,Merchants classified with this MCC provide service and repair work and are not classified with a more specific MCC.,Chimney Cleaning Service Furnace Cleaning Service Machine Shops Services – Chimney Cleaning Services – Furnace Cleaning Services – Large Appliance Repair Services – Bicycle Repair Services – Orthopedic Device Repair,SERVICES - OTHER
7800,7800,7999,Amusement and entertainment,False,,,,,,,Government Owned Lottery (U.S. Region Only),,Government Owned Lotteries,7800,Government-Owned Lotteries (US Region only),Merchants classified with this MCC are government- owned lotteries in the US Region that are registered with Visa to sell lottery tickets.,,CULTURAL AND RECREATIONAL SERVICES
7801,7800,7999,Amusement and entertainment,False,,,,,,,Internet Gambling (U.S. Region Only),,Government - Licensed Casinos (Online Gambling),7801,Government Licensed On-Line Casinos (On-Line Gambling) (US Region only),Merchants classified with this MCC are licensed by a US government entity (and/or sanctioned and regulated by applicable legislation) and registered with Visa to sell virtual gambling chips or offer online gambling.,,CULTURAL AND RECREATIONAL SERVICES
7802,7800,7999,Amusement and entertainment,False,,,,,,,Government Licensed Horse/Dog Racing (U.S. Region Only),,Government - Licensed Horse/Dog Racing,7802,Government-Licensed Horse/Dog Racing (US Region only),Merchants classified with this MCC are licensed by a US government entity (and/or sanctioned and regulated by applicable legislation) and registered with Visa to sell on- or off-track wagers at horse- or dog-racing facilities.,,CULTURAL AND RECREATIONAL SERVICES
7829,7800,7999,Amusement and entertainment,False,Motion picture and video tape production and distribution,Motion Pictures and Video Tape Production and Distribution,Picture/Video Production,picture_video_production,,Motion picture and video tape production and distribution,Motion Picture and Video Tape Production and Distribution,,Motion Picture and Video Tape Production and Distribution,7829,Motion Picture and Video Tape Production and Distribution,Merchants classified with this MCC are business-to- business or wholesale producers and distributors of educational and industrial films and videos for exhibition and sale.,"Distributor – Motion
Picture, Video Tape Production, Distribution Educational, Training Film Production Film Production, Distribution Motion Picture, Video Tape Production, Distribution TV Commercial Production Training, Educational Film Production Video Tape, Motion Picture Production, Distribution",CULTURAL AND RECREATIONAL SERVICES
7832,7800,7999,Amusement and entertainment,False,Motion picture theatres,,Motion Picture Theaters,motion_picture_theaters,,Motion picture theatres,Motion Picture Theaters,,Motion Picture Theaters,7832,Motion Picture Theaters,Merchants classified with this MCC operate movie theaters and sell tickets and refreshments or sell movie tickets online.,Cinemas Entertainment – Movie Theaters Films – Movie Theaters Movie Theaters,CULTURAL AND RECREATIONAL SERVICES
7841,7800,7999,Amusement and entertainment,False,Video tape rentals,Video Tape Rental Stores,Video Tape Rental Stores,video_tape_rental_stores,,Video tape rentals,Video Entertainment Rental Stores,,Video Tape Rental Stores,7841,DVD/Video Tape Rental Stores,Merchants classified with this MCC rent DVDs/video tapes for personal use and may sell a limited selection of used videos/DVDs and refreshments.,Rentals – DVD/Video Tape Stores,CULTURAL AND RECREATIONAL SERVICES
7911,7800,7999,Amusement and entertainment,False,"Dance halls, studios and schools","Dance Halls, Studios and Schools","Dance Hall, Studios, Schools",dance_hall_studios_schools,,"Dance halls, studios and schools","Dance Halls, Schools, and Studios",,"Dance Halls, Studios, and Schools",7911,"Dance Halls, Studios and Schools","Merchants classified with this MCC operate dance studios, schools, and public dance halls or ballrooms.",Ballet Schools Ballroom Dance Instruction Dance Schools Schools – Ballroom Dance Instruction Studios – Dance,CULTURAL AND RECREATIONAL SERVICES
7922,7800,7999,Amusement and entertainment,False,Theatrical producers (except motion pictures) and ticket agencies,"Theatrical Producers (Except Motion Pictures), Ticket Agencies",Theatrical Ticket Agencies,theatrical_ticket_agencies,,Theatrical producers (except motion pictures) and ticket agencies,"Theatrical Producers (except Motion Pictures), Ticket Agencies",,Theatrical Producers (except Motion Pictures) and Ticket Agencies,7922,Ticket Agencies and Theatrical Producers (Except Motion Pictures),"Merchants classified with this MCC operate live theatrical productions (such as road companies and summer theater groups) and services associated with theatrical productions and concerts (such as casting agencies, booking agencies, scenery, lighting, and other equipment services, and theatrical ticket agencies).","Agencies – Ticket, Theatrical Producers Performing Arts Companies – Theatrical Producers – Theatrical Production Agencies – Theatrical Ticket Agencies",CULTURAL AND RECREATIONAL SERVICES
